bucket_name,region,size_tb,object_count,last_access_days,storage_class,monthly_cost
analytics-data,us-east-1,5.2,1200000,120,STANDARD,420.00
app-logs,us-east-1,3.8,8500000,45,STANDARD,308.00
user-uploads,us-east-1,1.5,350000,5,STANDARD,121.50
backup-archive,us-west-2,12.0,500000,400,STANDARD,972.00
ml-training,us-east-1,8.5,2000000,60,STANDARD,688.50
static-assets,us-east-1,0.3,25000,2,STANDARD,24.30
compliance-docs,us-west-2,2.1,150000,200,STANDARD,170.10
temp-processing,us-east-1,0.8,100000,15,STANDARD,64.80
data-lake-raw,us-east-1,15.0,5000000,90,STANDARD,1215.00
cold-reports,us-west-2,4.2,300000,550,INTELLIGENT_TIERING,280.00
