volume_id,attached,instance_id,size_gb,utilization_percentage,last_access_days,monthly_cost
vol-0a1b2c3d4e5f0001,true,i-0a1b2c3d4e5f60001,500,22.4,0,40.00
vol-0a1b2c3d4e5f0002,true,i-0a1b2c3d4e5f60002,500,18.6,0,40.00
vol-0a1b2c3d4e5f0003,true,i-0a1b2c3d4e5f60003,1000,35.2,0,80.00
vol-0a1b2c3d4e5f0004,true,i-0a1b2c3d4e5f60004,1000,29.8,0,80.00
vol-0a1b2c3d4e5f0005,true,i-0a1b2c3d4e5f60005,1000,8.1,5,80.00
vol-0a1b2c3d4e5f0006,true,i-0a1b2c3d4e5f60006,2000,12.3,0,160.00
vol-0a1b2c3d4e5f0007,true,i-0a1b2c3d4e5f60007,2000,6.8,2,160.00
vol-0a1b2c3d4e5f0008,true,i-0a1b2c3d4e5f60008,2000,4.1,3,160.00
vol-0a1b2c3d4e5f0009,false,,500,0.0,90,40.00
vol-0a1b2c3d4e5f0010,false,,500,0.0,120,40.00
vol-0a1b2c3d4e5f0011,false,,1000,0.0,180,80.00
vol-0a1b2c3d4e5f0012,true,i-0a1b2c3d4e5f60009,500,15.4,0,40.00
vol-0a1b2c3d4e5f0013,true,i-0a1b2c3d4e5f60013,200,3.2,0,16.00
vol-0a1b2c3d4e5f0014,true,i-0a1b2c3d4e5f60014,200,1.8,5,16.00
vol-0a1b2c3d4e5f0015,true,i-0a1b2c3d4e5f60015,2000,31.5,0,160.00
vol-0a1b2c3d4e5f0016,false,,250,0.0,210,20.00
vol-0a1b2c3d4e5f0017,true,i-0a1b2c3d4e5f60019,100,0.4,90,8.00
vol-0a1b2c3d4e5f0018,true,i-0a1b2c3d4e5f60017,100,45.2,0,8.00
