instance_id,instance_name,instance_type,region,cpu_avg,memory_avg,hours_running,monthly_cost,environment
i-0a1b2c3d4e5f60001,web-prod-01,m5.2xlarge,us-east-1,12.3,18.7,720,284.16,production
i-0a1b2c3d4e5f60002,web-prod-02,m5.2xlarge,us-east-1,8.1,14.2,720,284.16,production
i-0a1b2c3d4e5f60003,api-prod-01,c5.4xlarge,us-east-1,22.5,31.4,720,489.60,production
i-0a1b2c3d4e5f60004,api-prod-02,c5.4xlarge,us-east-1,18.9,27.8,720,489.60,production
i-0a1b2c3d4e5f60005,api-prod-03,c5.4xlarge,us-east-1,6.2,11.3,720,489.60,production
i-0a1b2c3d4e5f60006,batch-worker-01,m5.4xlarge,us-east-1,3.4,8.1,720,552.96,production
i-0a1b2c3d4e5f60007,batch-worker-02,m5.4xlarge,us-east-1,2.1,5.6,720,552.96,production
i-0a1b2c3d4e5f60008,batch-worker-03,m5.4xlarge,us-west-2,1.8,4.2,720,552.96,production
i-0a1b2c3d4e5f60009,analytics-gpu-01,p3.2xlarge,us-east-1,4.7,9.3,720,2203.20,production
i-0a1b2c3d4e5f60010,ml-training-01,p3.2xlarge,us-west-2,7.8,15.6,720,2203.20,production
i-0a1b2c3d4e5f60011,staging-web-01,m5.xlarge,us-east-1,5.2,10.1,720,142.08,staging
i-0a1b2c3d4e5f60012,staging-api-01,c5.2xlarge,us-east-1,3.9,7.4,720,244.80,staging
i-0a1b2c3d4e5f60013,dev-sandbox-01,m5.2xlarge,us-east-1,1.2,3.4,720,284.16,development
i-0a1b2c3d4e5f60014,dev-sandbox-02,m5.2xlarge,us-west-2,0.8,2.1,720,284.16,development
i-0a1b2c3d4e5f60015,legacy-monolith-01,r5.4xlarge,us-east-1,9.4,22.6,720,729.60,production
i-0a1b2c3d4e5f60016,jenkins-ci-01,c5.2xlarge,us-east-1,14.8,29.5,720,244.80,tools
i-0a1b2c3d4e5f60017,monitoring-01,t3.xlarge,us-east-1,35.2,42.1,720,121.47,production
i-0a1b2c3d4e5f60018,cache-redis-01,r5.2xlarge,us-east-1,11.6,28.9,720,364.80,production
i-0a1b2c3d4e5f60019,old-demo-server,m5.xlarge,eu-west-1,0.3,1.1,720,142.08,development
i-0a1b2c3d4e5f60020,test-load-gen-01,c5.xlarge,us-east-1,0.5,1.8,168,28.56,testing
